example_id,customer_text,intent,expected_action,escalation_reason,difficulty,source_conversation_id
eval_001,when you sorting out a new update as my phone is as much use as a brick now thanks to your shit update,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,621770
eval_002,No te funciona el IOS11?,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,366528
eval_003,"#ios11 is just killing my phone, it says I have service but I can’t get out, have to restart multiple times",software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,647399
eval_004,The amount of times my phone has froze since the newest update is ridiculous. get your shit together.,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,14330
eval_005,My cell service has sucked since the new update. Why would y’all release an update that only works with the new phones?,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,375081
eval_006,"WTF ?! J’ai perdu tous mes messages, de plus la MAJ bug à mort... mon téléphone s’éteint sans raisons. #ios11problems",software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,333647
eval_007,Apple you’ve destroyed the iPhone with the release of #ios11 it’s not stable and reboots every few minutes… #garbage,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,545192
eval_008,iPhone 6 mega lent (surtout clavier) et autonomie en chute depuis iOS 11. Ça continue malgré les patchs! Que faire? Honteux de rendre un téléphone qui fonctionne super complètement obsolète en une maj #obsolescenceprogrammee,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,695270
eval_009,Un aplauso para y por ios11. No llegan las notificaciones de WhatsApp hasta que no entras en la app,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,402623
eval_010,#iOS11 is trash. My phone keeps crashing and kicking me out of apps. Fix it !,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,188315
eval_011,Ever since I done the latest update my phone has been ridiculous!,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,694457
eval_012,"Worked fine before updated to latest iOS yesterday. Phone is sat not being touched and Siri command is coming up. It’s really in its own world. Garbage after every update, every time",software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,642032
eval_013,CUANDO VAN A CORREGIR EL PROBLEMA DEL GASTO DE BATERÍA DEL IOS11 ???,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,743405
eval_014,Mi celular era una luz antes de instalar el iOS 11. Instalé la actualización qe supuestamente “corrige” errores y me anda aún peor.,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,249060
eval_015,cuando vais arreglar el problema de la batería con vuestras actualizaciones de IOS? Es de vergüenza,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,38230
eval_016,¿Por qué IOS 11 funciona tan mal en iPhone 6?,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,299694
eval_017,FIX IOS 11 SOON IT'S EMBARRASING TO CARRY A BRICK AROUND THANK YOU,software_update_os_bug,auto_handle,POST_UPDATE_RECOVERY_TRIAGE,hard,491497
